State	Median_Income
Alabama	44509
Alaska	75112
Arizona	52248
Arkansas	42798
California	63636
Colorado	66596
Connecticut	72889
Delaware	57756
District of Columbia	70071
Florida	48825
Georgia	50768
Hawaii	64514
Idaho	51624
Illinois	60413
Indiana	51983
Iowa	60855
Kansas	54865
Kentucky	42387
Louisiana	45922
Maine	50756
Maryland	73594
Massachusetts	67861
Michigan	54203
Minnesota	68730
Mississippi	40037
Missouri	59196
Montana	51395
Nebraska	60474
Nevada	52008
New Hampshire	75675
New Jersey	68357
New Mexico	45119
New York	58005
North Carolina	50797
North Dakota	57415
Ohio	53301
Oklahoma	47077
Oregon	60834
Pennsylvania	60389
Rhode Island	55701
South Carolina	46360
South Dakota	55065
Tennessee	47330
Texas	56473
Utah	66258
Vermont	59494
Virginia	61486
Washington	67243
West Virginia	42824
Wisconsin	55425
Wyoming	60925
