State	Participation
Alabama	889380
Alaska	81121
Arizona	999401
Arkansas	468904
California	4417772
Colorado	495134
Connecticut	442161
Delaware	149981
District of Columbia	141845
Florida	3656169
Georgia	1800531
Hawaii	188895
Idaho	196872
Illinois	2042306
Indiana	831740
Iowa	391224
Kansas	273974
Kentucky	768882
Louisiana	859738
Maine	202579
Maryland	781035
Massachusetts	785778
Michigan	1571344
Minnesota	496023
Mississippi	636322
Missouri	844597
Montana	119082
Nebraska	174092
Nevada	420413
New Hampshire	106296
New Jersey	905728
New Mexico	453146
New York	3039108
North Carolina	1646202
North Dakota	53148
Ohio	1676263
Oklahoma	598257
Oregon	779749
Pennsylvania	1826667
Rhode Island	175025
South Carolina	804572
South Dakota	98553
Tennessee	1229391
Texas	3724688
Utah	225603
Vermont	84994
Virginia	860375
Washington	1070933
West Virginia	367908
Wisconsin	805540
Wyoming	32606
